run_id,workload,force,window_idx,t_ms,hw_threads,pcore_threads,pcore_count,ecore_count,d_inst,d_cycles,d_mem,d_cache_miss,d_pf,d_mem_stall,d_uops,IPC,CPI,Cache_Miss_Ratio,Uop_per_Cycle,MemStall_per_Mem,MemStall_per_Inst,FaultRate_per_mem,RChar_per_Cycle,WChar_per_Cycle,RBytes_per_Cycle,WBytes_per_Cycle
r1,thread_stress,P,1,109.478,11,11,7,0,15982536,11598785,5360538,1221,33,3355831,0,1.37794916,0.72571618,0.00022778,0.00000000,0.62602504,0.20996862,0.00000616,0.00003035,0.00024778,0.00000000,0.00000000
r1,thread_stress,P,2,211.132,11,11,8,0,15058013,10018092,4997694,1083,18,2467967,0,1.50308192,0.66529973,0.00021670,0.00000000,0.49382115,0.16389726,0.00000360,0.00063345,0.00048692,0.00000000,0.00000000
r1,thread_stress,P,3,312.762,11,11,7,0,15167989,11329715,5040657,827,18,2819062,0,1.33877940,0.74694905,0.00016407,0.00000000,0.55926479,0.18585602,0.00000357,0.00056021,0.00043055,0.00000000,0.00000000
r1,thread_stress,P,4,413.226,3,3,2,0,4648761,6571811,1628939,1117,18,2719322,0,0.70737899,1.41366936,0.00068572,0.00000000,1.66938234,0.58495629,0.00001105,0.00096594,0.00074211,0.00000000,0.00000000
r1,thread_stress,P,5,513.639,1,1,1,0,2059158,4888098,781831,1117,18,2667920,0,0.42125956,2.37383338,0.00142870,0.00000000,3.41239987,1.29563637,0.00002302,0.00039627,0.00082793,0.00000000,0.00000000
r1,thread_stress,P,6,614.155,1,1,1,0,1959926,4795479,748584,1005,18,2581633,0,0.40870286,2.44676534,0.00134253,0.00000000,3.44868846,1.31720943,0.00002405,0.00017454,0.00080075,0.00000000,0.00000000
r1,thread_stress,P,7,715.475,11,11,8,0,15640452,10664792,5221940,1409,24,3364593,0,1.46655012,0.68187237,0.00026982,0.00000000,0.64431859,0.21512121,0.00000460,0.00008411,0.00040976,0.00000000,0.00000000
r1,thread_stress,P,8,817.088,11,11,7,0,15076618,9574420,5006405,1113,18,2539504,0,1.57467690,0.63505091,0.00022232,0.00000000,0.50725101,0.16843990,0.00000360,0.00066302,0.00050948,0.00000000,0.00000000
r1,thread_stress,P,9,918.687,11,11,7,0,15133008,9493922,5025006,1102,18,2682993,0,1.59396801,0.62736516,0.00021930,0.00000000,0.53392832,0.17729410,0.00000358,0.00066874,0.00051370,0.00000000,0.00000000
r2,thread_stress,E,1,122.079,11,0,0,8,10617598,12833814,5181510,7166,33,973960,0,0.82731431,1.20873045,0.00138299,0.00000000,0.18796837,0.09173073,0.00000637,0.00002501,0.00022402,0.00000000,0.00000000
r2,thread_stress,E,2,223.489,11,0,0,8,13452031,9152978,5195012,5221,18,702393,1971497,1.46968899,0.68041607,0.00100500,0.21539405,0.13520527,0.05221464,0.00000346,0.00069824,0.00053447,0.00000000,0.00044750
r2,thread_stress,E,3,325.031,11,0,0,8,12271134,12053574,4766306,5472,18,702438,3265094,1.01804942,0.98227059,0.00114806,0.27088181,0.14737577,0.05724312,0.00000378,0.00054872,0.00040627,0.00000000,0.00000000
r2,thread_stress,E,4,426.682,11,0,0,8,11296884,11558044,5077292,5147,18,701001,3064162,0.97740448,1.02311788,0.00101373,0.26511077,0.13806592,0.06205260,0.00000355,0.00057233,0.00042377,0.00000000,0.00000000
r2,thread_stress,E,5,528.667,11,0,0,7,11908455,11878660,5237050,5366,18,720116,1162364,1.00250828,0.99749800,0.00102462,0.09785312,0.13750413,0.06047098,0.00000344,0.00055688,0.00041234,0.00000000,0.00000000
r2,thread_stress,E,6,630.383,11,0,0,8,12031712,7736799,5238583,5635,18,742248,3015496,1.55512790,0.64303393,0.00107567,0.38976016,0.14168870,0.06169097,0.00000344,0.00085488,0.00063282,0.00000000,0.00000000
r2,thread_stress,E,7,730.774,1,0,0,1,2168057,3865053,593570,4637,18,644554,3471910,0.56093849,1.78272665,0.00781205,0.89828264,1.08589383,0.29729569,0.00003032,0.00171071,0.00126699,0.00000000,0.00000000
r2,thread_stress,E,8,831.148,1,0,0,1,2017438,4426634,419932,4420,18,612613,3032483,0.45574990,2.19418589,0.01052551,0.68505393,1.45883857,0.30365890,0.00004286,0.00019247,0.00086906,0.00000000,0.00000000
r2,thread_stress,E,9,931.668,1,0,0,1,2042298,4876684,510029,4349,18,616114,3179354,0.41878826,2.38784154,0.00852697,0.65194997,1.20799798,0.30167684,0.00003529,0.00017430,0.00078886,0.00000000,0.00000000
r2,thread_stress,E,1,114.457,9,0,0,8,7497881,8898578,3907981,7931,33,1044752,1519300,0.84259316,1.18681238,0.00202944,0.17073514,0.26733804,0.13933963,0.00000844,0.00003551,0.00032297,0.00000000,0.00000000
r2,thread_stress,E,2,216.044,11,0,0,8,11753474,7812009,5091914,5736,18,743915,3066006,1.50453923,0.66465532,0.00112649,0.39247343,0.14609732,0.06329320,0.00000354,0.00064183,0.00059972,0.00000000,0.00104864
r2,thread_stress,E,3,317.678,11,0,0,7,12279369,11563576,4765025,5255,18,671272,3095504,1.06190066,0.94170767,0.00110283,0.26769435,0.14087481,0.05466665,0.00000378,0.00057171,0.00042348,0.00000000,0.00000000
