run_id,workload,force,window_idx,t_ms,dt_ms,hw_threads,pcore_threads,pcore_count,ecore_count,d_inst,d_cycles,d_mem,d_cache_miss,d_pf,d_mem_stall,d_uops,d_inst_p,d_cycles_p,d_mem_p,d_cache_miss_p,d_pf_p,d_mem_stall_p,d_uops_p,d_inst_e,d_cycles_e,d_mem_e,d_cache_miss_e,d_pf_e,d_mem_stall_e,d_uops_e,rchar_p,wchar_p,syscr_p,syscw_p,read_bytes_p,write_bytes_p,rchar_e,wchar_e,syscr_e,syscw_e,read_bytes_e,write_bytes_e,inst_per_ms,cycles_per_ms,IPC,CPI,Cache_Miss_Ratio,Uop_per_Cycle,MemStall_per_Mem,MemStall_per_Inst,FaultRate_per_mem,RChar_per_Cycle,WChar_per_Cycle,RBytes_per_Cycle,WBytes_per_Cycle,IPC_p,Cache_Miss_Ratio_p,Uop_per_Cycle_p,MemStall_per_Mem_p,MemStall_per_Inst_p,FaultRate_per_mem_p,RChar_per_Cycle_p,WChar_per_Cycle_p,RBytes_per_Cycle_p,WBytes_per_Cycle_p,IPC_e,Cache_Miss_Ratio_e,Uop_per_Cycle_e,MemStall_per_Mem_e,MemStall_per_Inst_e,FaultRate_per_mem_e,RChar_per_Cycle_e,WChar_per_Cycle_e,RBytes_per_Cycle_e,WBytes_per_Cycle_e
runP_mt_compute,mt_compute,P,6,642.778,100.000,21,21,8,0,5945808647,2282641784,412934925,1868,0,16508071,0,5945808647,2282641784,412934925,1868,0,16508071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59458086.4699999988,22826417.8399999999,2.60479270,0.38390771,0.00000452,0.00000000,0.03997742,0.00277642,0.00000000,0.00000594,0.00000114,0.00000000,0.00000000,2.60479270,0.00000452,0.00000000,0.03997742,0.00277642,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
runP_mt_compute,mt_compute,P,7,747.021,100.000,21,21,8,0,5652118133,2170070702,392492467,1608,0,14445946,0,5652118133,2170070702,392492467,1608,0,14445946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56521181.3299999982,21700707.0199999996,2.60457787,0.38393937,0.00000410,0.00000000,0.03680566,0.00255585,0.00000000,0.00000624,0.00000146,0.00000000,0.00000189,2.60457787,0.00000410,0.00000000,0.03680566,0.00255585,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
runP_mt_compute,mt_compute,P,8,853.629,100.000,21,21,8,0,6290383335,2416494565,436584990,1321,0,13496323,0,6290383335,2416494565,436584990,1321,0,13496323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62903833.3500000015,24164945.6499999985,2.60310262,0.38415696,0.00000303,0.00000000,0.03091339,0.00214555,0.00000000,0.00000561,0.00000131,0.00000000,0.00000000,2.60310262,0.00000303,0.00000000,0.03091339,0.00214555,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
runP_mt_compute,mt_compute,P,9,958.272,100.000,21,21,8,0,5631651580,2161795414,391099303,1900,0,13891472,0,5631651580,2161795414,391099303,1900,0,13891472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56316515.7999999970,21617954.1400000006,2.60508073,0.38386526,0.00000486,0.00000000,0.03551904,0.00246668,0.00000000,0.00000627,0.00000147,0.00000000,0.00000000,2.60508073,0.00000486,0.00000000,0.03551904,0.00246668,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
runP_mt_compute,mt_compute,P,10,1066.050,100.000,21,21,8,0,5640698605,2165624660,391816146,1658,0,13913330,0,5640698605,2165624660,391816146,1658,0,13913330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56406986.0499999970,21656246.6000000015,2.60465200,0.38392845,0.00000423,0.00000000,0.03550984,0.00246660,0.00000000,0.00000626,0.00000147,0.00000000,0.00000000,2.60465200,0.00000423,0.00000000,0.03550984,0.00246660,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
runP_mt_compute,mt_compute,P,11,1169.692,100.000,21,21,8,0,5838591693,2241548814,405309010,1297,0,9063750,0,5838591693,2241548814,405309010,1297,0,9063750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58385916.9299999997,22415488.1400000006,2.60471316,0.38391943,0.00000320,0.00000000,0.02236257,0.00155239,0.00000000,0.00000605,0.00000142,0.00000000,0.00000000,2.60471316,0.00000320,0.00000000,0.02236257,0.00155239,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
runP_mt_compute,mt_compute,P,12,1276.819,100.000,21,21,8,0,5768354098,2214126339,400562743,1856,0,11124154,0,5768354098,2214126339,400562743,1856,0,11124154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57683540.9799999967,22141263.3900000006,2.60525066,0.38384023,0.00000463,0.00000000,0.02777131,0.00192848,0.00000000,0.00000612,0.00000143,0.00000000,0.00000185,2.60525066,0.00000463,0.00000000,0.02777131,0.00192848,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
runP_mt_compute,mt_compute,P,13,1378.645,100.000,21,21,8,0,5444706992,2090085853,378141543,1553,0,14091835,0,5444706992,2090085853,378141543,1553,0,14091835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54447069.9200000018,20900858.5300000012,2.60501595,0.38387481,0.00000411,0.00000000,0.03726603,0.00258817,0.00000000,0.00000648,0.00000152,0.00000000,0.00000000,2.60501595,0.00000411,0.00000000,0.03726603,0.00258817,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
runP_mt_compute,mt_compute,P,14,1486.202,100.000,21,21,8,0,5536780360,2125865256,384601210,2011,0,9112603,0,5536780360,2125865256,384601210,2011,0,9112603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55367803.6000000015,21258652.5599999987,2.60448321,0.38395333,0.00000523,0.00000000,0.02369364,0.00164583,0.00000000,0.00000638,0.00000149,0.00000000,0.00000000,2.60448321,0.00000523,0.00000000,0.02369364,0.00164583,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
runP_mt_compute,mt_compute,P,15,1589.791,100.000,21,21,8,0,5384706092,2067074720,374100178,1755,0,15274348,0,5384706092,2067074720,374100178,1755,0,15274348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53847060.9200000018,20670747.1999999993,2.60498861,0.38387884,0.00000469,0.00000000,0.04082957,0.00283662,0.00000000,0.00000656,0.00000154,0.00000000,0.00000000,2.60498861,0.00000469,0.00000000,0.04082957,0.00283662,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
